Profundidade [m]	Densidade Aparente Seca [g/cm³]
5467.0172	2.476612
5467.1696	2.505133
5467.322	2.48631
5467.4744	2.434085
5467.6268	2.413757
5467.7792	2.405474
5467.9316	2.384807
5468.084	2.303988
5468.2364	2.240827
5468.3888	2.191436
5468.5412	2.152173
5468.6936	2.1211860000000002
5468.846	2.140653
5468.9984	2.186557
5469.1508	2.2980300000000002
5469.3032	2.3484629999999997
5469.4556	2.309217
5469.608	2.270571
5469.7604	2.2817510000000003
5469.9128	2.3617679999999996
5470.0652	2.455496
5470.2176	2.472448
5470.37	2.478498
5470.5224	2.4876630000000004
5470.6748	2.480836
5470.8272	2.446179
5470.9796	2.360295
5471.132	2.315634
5471.2844	2.30716
5471.4368	2.3040160000000003
5471.5892	2.28858
5471.7416	2.283512
5471.894	2.273054
5472.0464	2.275761
5472.1988	2.32416
5472.3512	2.454829
5472.5036	2.511266
5472.656	2.502573
5472.8084	2.447957
5472.9608	2.3699000000000003
5473.1132	2.3550259999999996
5473.2656	2.3580919999999996
5473.418	2.369591
5473.5704	2.405103
5473.7228	2.462567
5473.8752	2.5588889999999997
5474.0276	2.576946
5474.18	2.511294
5474.3324	2.458928
5474.4848	2.463832
5474.6372	2.4838009999999997
5474.7896	2.426157
5474.942	2.39948
5475.0944	2.4353599999999997
5475.2468	2.520017
5475.3992	2.535591
5475.5516	2.5455229999999998
5475.704	2.548418
5475.8564	2.47854
5476.0088	2.4209929999999997
5476.1612	2.382638
5476.3136	2.392808
5476.466	2.417327
5476.6184	2.402527
5476.7708	2.387929
5476.9232	2.420325
5477.0756	2.488623
5477.228	2.471815
5477.3804	2.3501070000000004
5477.5328	2.290302
5477.6852	2.297785
5477.8376	2.3391710000000003
5477.99	2.352561
5478.1424	2.359571
5478.2948	2.406759
5478.4472	2.529797
5478.5996	2.56125
5478.752	2.47199
5478.9044	2.385284
5479.0568	2.327004
5479.2092	2.333426
5479.3616	2.413211
5479.514	2.5172640000000004
5479.6664	2.594317
5479.8188	2.587975
5479.9712	2.5359949999999998
5480.1236	2.5124560000000002
5480.276	2.476989
5480.4284	2.4109089999999997
5480.5808	2.3541440000000002
5480.7332	2.371661
5480.8856	2.446279
5481.038	2.449299
5481.1904	2.368864
5481.3428	2.321155
5481.4952	2.2915
5481.6476	2.264137
5481.8	2.257273
5481.9524	2.314953
5482.1048	2.4074120000000003
5482.2572	2.522932
5482.4096	2.5169469999999996
5482.562	2.415252
5482.7144	2.338133
5482.8668	2.311922
5483.0192	2.354786
5483.1716	2.395515
5483.324	2.431077
5483.4764	2.507359
5483.6288	2.553712
5483.7812	2.543325
5483.9336	2.502339
5484.086	2.4205900000000002
5484.2384	2.388862
5484.3908	2.3799099999999997
5484.5432	2.376802
5484.6956	2.368569
5484.848	2.3612599999999997
5485.0004	2.3459899999999996
5485.1528	2.304469
5485.3052	2.289025
5485.4576	2.230976
5485.61	2.178398
5485.7624	2.150705
5485.9148	2.174738
5486.0672	2.2010769999999997
5486.2196	2.245222
5486.372	2.317069
5486.5244	2.361522
5486.6768	2.383344
5486.8292	2.394907
5486.9816	2.4133910000000003
5487.134	2.42633
5487.2864	2.443854
5487.4388	2.436803
5487.5912	2.401031
5487.7436	2.368819
5487.896	2.378054
5488.0484	2.390792
5488.2008	2.400193
